word,reason,lemma,pos,source,context
Goethe-Zertifikat,possible_proper_noun,goethe-zertifikat,PROPN,trans.pdf,Training zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina...
Spiros,possible_proper_noun,spiros,PROPN,trans.pdf,zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald...
Koukidis,possible_proper_noun,koukidis,PROPN,trans.pdf,Prüfung Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie...
Jorina,possible_proper_noun,jorina,PROPN,trans.pdf,Goethe-Zertifikat Spiros Koukidis Jorina Grünewald Melanie Liaropoulou...
Melanie,possible_proper_noun,melanie,PROPN,trans.pdf,Koukidis Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou...
Liaropoulou,possible_proper_noun,liaropoulou,PROPN,trans.pdf,Jorina Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar...
Georgina,possible_proper_noun,georgina,PROPN,trans.pdf,Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou,possible_proper_noun,lymperopoulou,PROPN,trans.pdf,Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
Georgina,possible_proper_noun,georgina,PROPN,trans.pdf,Grünewald Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch...
Lymperopoulou,possible_proper_noun,lymperopoulou,PROPN,trans.pdf,Melanie Liaropoulou Georgina Lymperopoulou Glossar Deutsch Griechisch...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Bezug,possible_proper_noun,bezug,PROPN,trans.pdf,e betreffen in Bezug auf AKK der...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Arbeitsforschung,possible_proper_noun,arbeitsforschung,PROPN,trans.pdf,das Institut für Arbeitsforschung vorgelagert das Ultrakurzzeitgedächtnis...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Netzwerk,possible_proper_noun,netzwerk,PROPN,trans.pdf,bestimmen das neuronale Netzwerk die Gehirnregion en...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Hildesheim,possible_proper_noun,hildesheim,PROPN,trans.pdf,der die Hildesheimer Hildesheim die Multiple Choice-Aufgabe...
Choice-Aufgabe,possible_proper_noun,choice-aufgabe,PROPN,trans.pdf,Hildesheim die Multiple Choice-Aufgabe n der Taucher...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Leben,possible_proper_noun,leben,PROPN,trans.pdf,Wertvorstellung en vom Leben verwöhnt aus werten...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Zuge,possible_proper_noun,zuge,PROPN,trans.pdf,Macht ergreifen im Zuge GEN die industrielle...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
Revolution,possible_proper_noun,revolution,PROPN,trans.pdf,GEN die industrielle Revolution nach und nach...
Brennpunkt,possible_proper_noun,brennpunkt,PROPN,trans.pdf,e der soziale Brennpunkt e hotspot bezeichnen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Studien,possible_proper_noun,studien,PROPN,trans.pdf,hochgestochen zwanglos soziologische Studien Pl der Soziologe...
Ressourcen,possible_proper_noun,ressourcen,PROPN,trans.pdf,e die ökonomischen Ressourcen Pl fein sozial...
Individuen,possible_proper_noun,individuen,PROPN,trans.pdf,Abstieg das Individuum Individuen mangels GEN die...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Schicht,possible_proper_noun,schicht,PROPN,trans.pdf,Werkstatt die soziale Schicht en registrieren analog...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Einklang,possible_proper_noun,einklang,PROPN,trans.pdf,Bedürfnis se in Einklang bringen ungestört die...
Kognitive,possible_proper_noun,kognitive,PROPN,trans.pdf,differenzieren das für Kognitive Neurowissenschaften vor spielen...
Neurowissenschaften,possible_proper_noun,neurowissenschaften,PROPN,trans.pdf,das für Kognitive Neurowissenschaften vor spielen die...
REM,abbreviation,rem,PROPN,trans.pdf,die Non-REM-Schlaf-Phase n REM das Familienmitglied er...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Leiden,possible_proper_noun,leiden,PROPN,trans.pdf,derzeit das psychische Leiden bestehen in DAT...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Schichten,possible_proper_noun,schichten,PROPN,trans.pdf,kontraproduktiv in dichten Schichten in Watte gepackt...
Watte,possible_proper_noun,watte,PROPN,trans.pdf,dichten Schichten in Watte gepackt auf wachsen...
Licht,possible_proper_noun,licht,PROPN,trans.pdf,Adoleszenz in besserem Licht betrachten das Argument...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Wesentlichen,possible_proper_noun,wesentlichen,PROPN,trans.pdf,Publikation en im Wesentlichen die Mischung en...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Fleck,possible_proper_noun,fleck,PROPN,trans.pdf,Werkstatt unerschrocken vom Fleck kommen die motivierenden...
Worte,possible_proper_noun,worte,PROPN,trans.pdf,kommen die motivierenden Worte zum Trotz DAT...
Trotz,possible_proper_noun,trotz,PROPN,trans.pdf,motivierenden Worte zum Trotz DAT Test Lesen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Brennstoffe,possible_proper_noun,brennstoffe,PROPN,trans.pdf,die Nutzung fossile Brennstoffe Pl das Erdöl...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Allgemeinen,possible_proper_noun,allgemeinen,PROPN,trans.pdf,Industrieproduktion en im Allgemeinen um setzen auseinander...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Ehrung,possible_proper_noun,ehrung,PROPN,trans.pdf,entwerfen prämieren zur Ehrung GEN der Todestag...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
Akku,possible_proper_noun,akku,PROPN,trans.pdf,der Akkumulator en Akku s heutzutage der...
Mittelamerika,possible_proper_noun,mittelamerika,PROPN,trans.pdf,Volk er Südamerika Mittelamerika religiös das Ritual...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Stoff,possible_proper_noun,stoff,PROPN,trans.pdf,e der psychoaktive Stoff isolieren das Psilocybin...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Episode,possible_proper_noun,episode,PROPN,trans.pdf,Verfolgungswahn die psychotische Episode das Misstrauen verfolgen...
Erkrankung,possible_proper_noun,erkrankung,PROPN,trans.pdf,labil die schizophrene Erkrankung en die Drogenpsychose...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Ohnmacht,possible_proper_noun,ohnmacht,PROPN,trans.pdf,e in ihrer Ohnmacht ab gewinnen um...
Sinne,possible_proper_noun,sinne,PROPN,trans.pdf,en im weiteren Sinne das Geschehnis se...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Sinn,possible_proper_noun,sinn,PROPN,trans.pdf,Lebensereignis se entsprechend Sinn ab ringen DAT...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Gang,possible_proper_noun,gang,PROPN,trans.pdf,AKK gravierend in Gang setzen der Wachstumsprozess...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Nationen,possible_proper_noun,nationen,PROPN,trans.pdf,Kinderrechtskonvention die Vereinten Nationen die Grundeinheit en...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Gesellschaftsforschung,possible_proper_noun,gesellschaftsforschung,PROPN,trans.pdf,respektieren Institut für Gesellschaftsforschung die Lebensgestaltung auf...
Bestand,possible_proper_noun,bestand,PROPN,trans.pdf,Lebensgestaltung auf kommen Bestand haben die Lebensoption...
Hinblick,possible_proper_noun,hinblick,PROPN,trans.pdf,Lebensoption en im Hinblick auf AKK die...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Normalfall,possible_proper_noun,normalfall,PROPN,trans.pdf,die Lebenszufriedenheit im Normalfall gebunden sein an...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Mittelpunkt,possible_proper_noun,mittelpunkt,PROPN,trans.pdf,Gründung en im Mittelpunkt stehen der die...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Aufmerksamkeit,possible_proper_noun,aufmerksamkeit,PROPN,trans.pdf,n die kleine Aufmerksamkeit ein schätzen die...
Person,possible_proper_noun,person,PROPN,trans.pdf,die kontaktiert e Person wert schätzen der...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Sicht,possible_proper_noun,sicht,PROPN,trans.pdf,en paradox aus Sicht GEN frustrierend gesundheitsförderlich...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
ADJ,abbreviation,adj,PROPN,trans.pdf,das Vorbeugen möglichst ADJ ADV naturbelassen das...
ADV,abbreviation,adv,PROPN,trans.pdf,Vorbeugen möglichst ADJ ADV naturbelassen das Vollkornprodukt...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Grunde,possible_proper_noun,grunde,PROPN,trans.pdf,das Olivenöl im Grunde genussvoll die Vorliebe...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Vordergrund,possible_proper_noun,vordergrund,PROPN,trans.pdf,Produkteigenschaft en im Vordergrund stehen vielmehr der...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Vorbild,possible_proper_noun,vorbild,PROPN,trans.pdf,sich etwas zum Vorbild nehmen der Gesundheitsexperte...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Stellenwert,possible_proper_noun,stellenwert,PROPN,trans.pdf,Flexibilität einen hohen Stellenwert haben ein Dorn...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Laufe,possible_proper_noun,laufe,PROPN,trans.pdf,en manövrieren im Laufe GEN die Lebenszeit...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Arbeitsmarktforschung,possible_proper_noun,arbeitsmarktforschung,PROPN,trans.pdf,das Institut für Arbeitsmarktforschung im Wandel begriffen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Stigmata,possible_proper_noun,stigmata,PROPN,trans.pdf,e das Stigma Stigmata Stigmen betroffen der...
Stigmen,possible_proper_noun,stigmen,PROPN,trans.pdf,das Stigma Stigmata Stigmen betroffen der Einkommensverlust...
Folgen,possible_proper_noun,folgen,PROPN,trans.pdf,aus lösen gesundheitliche Folgen Pl die Volkswirtschaft...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Schau,possible_proper_noun,schau,PROPN,trans.pdf,n etwas zur Schau stellen sich ab...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Wohnen,possible_proper_noun,wohnen,PROPN,trans.pdf,das Bundesministerium für Wohnen Stadtentwicklung und Bauwesen...
Stadtentwicklung,possible_proper_noun,stadtentwicklung,PROPN,trans.pdf,Bundesministerium für Wohnen Stadtentwicklung und Bauwesen meistdiskutiert...
Bauwesen,possible_proper_noun,bauwesen,PROPN,trans.pdf,Wohnen Stadtentwicklung und Bauwesen meistdiskutiert die Wohnsituation...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Union,possible_proper_noun,union,PROPN,trans.pdf,bezeichnenderweise die Europäische Union EU die Stadt-Land-Perspektive...
Kreis,possible_proper_noun,kreis,PROPN,trans.pdf,überwiegend der ländliche Kreis der Eigentümer die...
Amt,possible_proper_noun,amt,PROPN,trans.pdf,liegen das Statistische Amt der EU verfügbar...
Schnitt,possible_proper_noun,schnitt,PROPN,trans.pdf,Wohnfläche n im Schnitt vermietet das Baujahr...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Dosen,possible_proper_noun,dosen,PROPN,trans.pdf,doppelt die Dosis Dosen verabreichen somit wirksam...
Schmerzzentren,possible_proper_noun,schmerzzentren,PROPN,trans.pdf,en das Schmerzzentrum Schmerzzentren evolutionär gesehen drohen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
IT-Experte,possible_proper_noun,it-experte,PROPN,trans.pdf,die Pflegekraft e IT-Experte n IT-Expertin nen...
IT-Expertin,possible_proper_noun,it-expertin,PROPN,trans.pdf,e IT-Experte n IT-Expertin nen der Lieferdienstfahrer...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Folge,possible_proper_noun,folge,PROPN,trans.pdf,Flüchtlingsbewegung en zur Folge haben partiell die...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Interesse,possible_proper_noun,interesse,PROPN,trans.pdf,Bevölkerungsdurchschnitt das politische Interesse sicherlich förderlich die...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
Sache,possible_proper_noun,sache,PROPN,trans.pdf,These n einer Sache Ausdruck verleihen partizipatorisch...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
AKK,abbreviation,akk,PROPN,trans.pdf,in Bezug auf AKK der Tabakkonzern e...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Dienste,possible_proper_noun,dienste,PROPN,trans.pdf,s weltberühmt im Dienste von DAT neuartig...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
GEN,abbreviation,gen,PROPN,trans.pdf,die Verletzlichkeit binnen GEN kognitiv erzielen sich...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Chr,possible_proper_noun,chr,PROPN,trans.pdf,neolithisch bäuerlich v Chr vor Christus der...
Christus,possible_proper_noun,christus,PROPN,trans.pdf,v Chr vor Christus der Abbau das...
DAT,abbreviation,dat,PROPN,trans.pdf,beteiligt sein an DAT die Kapazität bestimmen...
Spezialverlag,possible_proper_noun,spezialverlag,PROPN,trans.pdf,Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF,possible_proper_noun,daf,PROPN,trans.pdf,Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
FaD,possible_proper_noun,fad,PROPN,trans.pdf,von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Ideen,possible_proper_noun,ideen,PROPN,trans.pdf,Diätwillige auf schlechte Ideen bringen der Abnehm-Pfad...
